Starting calculations for AP-MoS2/MoS2
      Step     Time          Energy         fmax
BFGS:   11 13:18:43 -1905596.804048        0.0146
BFGS:   12 13:19:08 -1905596.804182        0.0146
BFGS:   13 13:19:32 -1905596.804331        0.0205
BFGS:   14 13:19:57 -1905596.804477        0.0206
BFGS:   15 13:20:21 -1905596.804591        0.0147
BFGS:   16 13:20:45 -1905596.804678        0.0115
BFGS:   17 13:21:10 -1905596.804763        0.0129
BFGS:   18 13:21:34 -1905596.804858        0.0174
BFGS:   19 13:21:57 -1905596.804946        0.0185
BFGS:   20 13:22:21 -1905596.805011        0.0113
BFGS:   21 13:22:45 -1905596.805060        0.0076
BFGS:   22 13:23:10 -1905596.805109        0.0084
BFGS:   23 13:23:34 -1905596.805168        0.0149
BFGS:   24 13:23:59 -1905596.805229        0.0143
BFGS:   25 13:24:23 -1905596.805275        0.0072
BFGS:   26 13:24:48 -1905596.805307        0.0051
BFGS:   27 13:25:12 -1905596.805336        0.0075
BFGS:   28 13:25:36 -1905596.805372        0.0104
BFGS:   29 13:26:00 -1905596.805410        0.0081
BFGS:   30 13:26:24 -1905596.805440        0.0053
BFGS:   31 13:26:49 -1905596.805463        0.0045
BFGS:   32 13:27:13 -1905596.805485        0.0073
BFGS:   33 13:27:38 -1905596.805510        0.0077
BFGS:   34 13:28:02 -1905596.805534        0.0063
BFGS:   35 13:28:26 -1905596.805551        0.0037
BFGS:   36 13:28:51 -1905596.805565        0.0051
BFGS:   37 13:29:15 -1905596.805582        0.0065
BFGS:   38 13:29:39 -1905596.805601        0.0074
BFGS:   39 13:30:03 -1905596.805618        0.0045
BFGS:   40 13:30:28 -1905596.805630        0.0026
BFGS:   41 13:30:53 -1905596.805641        0.0041
BFGS:   42 13:31:18 -1905596.805653        0.0060
BFGS:   43 13:31:43 -1905596.805666        0.0053
BFGS:   44 13:32:08 -1905596.805678        0.0028
BFGS:   45 13:32:32 -1905596.805686        0.0023
BFGS:   46 13:32:56 -1905596.805695        0.0040
BFGS:   47 13:33:21 -1905596.805705        0.0046
BFGS:   48 13:33:45 -1905596.805714        0.0041
BFGS:   49 13:34:08 -1905596.805721        0.0026
BFGS:   50 13:34:32 -1905596.805727        0.0024
BFGS:   51 13:34:58 -1905596.805734        0.0034
BFGS:   52 13:35:22 -1905596.805741        0.0038
BFGS:   53 13:35:47 -1905596.805747        0.0035
BFGS:   54 13:36:11 -1905596.805752        0.0016
BFGS:   55 13:36:36 -1905596.805757        0.0023
BFGS:   56 13:37:00 -1905596.805761        0.0024
BFGS:   57 13:37:25 -1905596.805766        0.0030
BFGS:   58 13:37:50 -1905596.805771        0.0020
BFGS:   59 13:38:13 -1905596.805774        0.0015
BFGS:   60 13:38:38 -1905596.805777        0.0017
BFGS:   61 13:39:02 -1905596.805781        0.0027
BFGS:   62 13:39:27 -1905596.805785        0.0023
BFGS:   63 13:39:51 -1905596.805788        0.0015
BFGS:   64 13:40:15 -1905596.805790        0.0010
39 38 186 79 107
Combined bilayer energy = -1905596.8057902646
Energy cost per unit length : 0.08768845080867081
Prev_energy - Current_energy = 0.00085891584742602
      Step     Time          Energy         fmax
BFGS:    0 13:40:16 -1905596.805790        0.1576
BFGS:    1 13:40:38 -1905596.806974        0.1033
BFGS:    2 13:41:02 -1905596.808174        0.0393
BFGS:    3 13:41:27 -1905596.808514        0.0401
BFGS:    4 13:41:52 -1905596.809926        0.0554
BFGS:    5 13:42:17 -1905596.810477        0.0400
BFGS:    6 13:42:42 -1905596.810755        0.0181
BFGS:    7 13:43:08 -1905596.810910        0.0159
BFGS:    8 13:43:34 -1905596.811162        0.0278
BFGS:    9 13:44:00 -1905596.811426        0.0309
BFGS:   10 13:44:25 -1905596.811636        0.0169
BFGS:   11 13:44:50 -1905596.811764        0.0125
BFGS:   12 13:45:16 -1905596.811874        0.0135
BFGS:   13 13:45:41 -1905596.812001        0.0195
BFGS:   14 13:46:07 -1905596.812128        0.0174
BFGS:   15 13:46:33 -1905596.812227        0.0133
BFGS:   16 13:47:00 -1905596.812302        0.0095
BFGS:   17 13:47:25 -1905596.812379        0.0136
BFGS:   18 13:47:52 -1905596.812469        0.0154
BFGS:   19 13:48:17 -1905596.812556        0.0179
BFGS:   20 13:48:43 -1905596.812621        0.0121
BFGS:   21 13:49:09 -1905596.812669        0.0077
BFGS:   22 13:49:34 -1905596.812719        0.0086
BFGS:   23 13:50:00 -1905596.812782        0.0154
BFGS:   24 13:50:27 -1905596.812851        0.0166
BFGS:   25 13:50:52 -1905596.812907        0.0096
BFGS:   26 13:51:18 -1905596.812947        0.0059
BFGS:   27 13:51:44 -1905596.812984        0.0082
BFGS:   28 13:52:11 -1905596.813029        0.0131
BFGS:   29 13:52:37 -1905596.813079        0.0116
BFGS:   30 13:53:03 -1905596.813124        0.0060
BFGS:   31 13:53:29 -1905596.813161        0.0059
BFGS:   32 13:53:56 -1905596.813197        0.0106
BFGS:   33 13:54:23 -1905596.813238        0.0120
BFGS:   34 13:54:49 -1905596.813278        0.0073
BFGS:   35 13:55:15 -1905596.813311        0.0052
BFGS:   36 13:55:40 -1905596.813341        0.0080
BFGS:   37 13:56:07 -1905596.813376        0.0123
BFGS:   38 13:56:33 -1905596.813416        0.0115
BFGS:   39 13:56:59 -1905596.813454        0.0059
BFGS:   40 13:57:25 -1905596.813483        0.0045
BFGS:   41 13:57:51 -1905596.813511        0.0083
BFGS:   42 13:58:17 -1905596.813542        0.0108
BFGS:   43 13:58:43 -1905596.813577        0.0085
BFGS:   44 13:59:10 -1905596.813609        0.0046
BFGS:   45 13:59:36 -1905596.813637        0.0042
BFGS:   46 14:00:02 -1905596.813664        0.0079
BFGS:   47 14:00:28 -1905596.813696        0.0085
BFGS:   48 14:00:54 -1905596.813729        0.0070
BFGS:   49 14:01:20 -1905596.813756        0.0054
BFGS:   50 14:01:46 -1905596.813780        0.0045
BFGS:   51 14:02:12 -1905596.813806        0.0065
BFGS:   52 14:02:39 -1905596.813837        0.0079
BFGS:   53 14:03:06 -1905596.813867        0.0073
BFGS:   54 14:03:32 -1905596.813893        0.0045
BFGS:   55 14:03:58 -1905596.813915        0.0046
BFGS:   56 14:04:25 -1905596.813941        0.0055
BFGS:   57 14:04:50 -1905596.813970        0.0072
BFGS:   58 14:05:16 -1905596.813999        0.0062
BFGS:   59 14:05:42 -1905596.814022        0.0034
BFGS:   60 14:06:08 -1905596.814045        0.0039
BFGS:   61 14:06:34 -1905596.814071        0.0069
BFGS:   62 14:07:02 -1905596.814101        0.0082
BFGS:   63 14:07:28 -1905596.814130        0.0056
BFGS:   64 14:07:55 -1905596.814153        0.0035
BFGS:   65 14:08:21 -1905596.814173        0.0046
BFGS:   66 14:08:47 -1905596.814196        0.0078
BFGS:   67 14:09:13 -1905596.814224        0.0077
