Starting calculations for AP-MoS2/MoS2
      Step     Time          Energy         fmax
BFGS:   58 15:50:47 -1905596.930783        0.0019
BFGS:   59 15:51:18 -1905596.930787        0.0019
BFGS:   60 15:51:52 -1905596.930791        0.0022
BFGS:   61 15:52:24 -1905596.930796        0.0030
BFGS:   62 15:52:56 -1905596.930801        0.0025
BFGS:   63 15:53:28 -1905596.930804        0.0015
BFGS:   64 15:53:59 -1905596.930807        0.0013
BFGS:   65 15:54:30 -1905596.930810        0.0024
BFGS:   66 15:55:02 -1905596.930813        0.0027
BFGS:   67 15:55:33 -1905596.930817        0.0018
BFGS:   68 15:56:05 -1905596.930819        0.0013
BFGS:   69 15:56:37 -1905596.930821        0.0015
BFGS:   70 15:57:08 -1905596.930824        0.0023
BFGS:   71 15:57:39 -1905596.930826        0.0021
BFGS:   72 15:58:11 -1905596.930828        0.0015
BFGS:   73 15:58:45 -1905596.930830        0.0011
BFGS:   74 15:59:17 -1905596.930831        0.0014
BFGS:   75 15:59:47 -1905596.930833        0.0018
BFGS:   76 16:00:19 -1905596.930835        0.0017
BFGS:   77 16:00:51 -1905596.930836        0.0010
36 36 186 74 112
Combined bilayer energy = -1905596.9308363576
Energy cost per unit length : 0.08553471936264737
Prev_energy - Current_energy = 0.00044737332522261364
      Step     Time          Energy         fmax
BFGS:    0 16:00:51 -1905596.930836        0.1202
BFGS:    1 16:01:22 -1905596.931522        0.0788
BFGS:    2 16:01:55 -1905596.932219        0.0298
BFGS:    3 16:02:27 -1905596.932415        0.0304
BFGS:    4 16:02:59 -1905596.933240        0.0423
BFGS:    5 16:03:32 -1905596.933563        0.0306
BFGS:    6 16:04:04 -1905596.933727        0.0139
BFGS:    7 16:04:37 -1905596.933820        0.0122
BFGS:    8 16:05:10 -1905596.933970        0.0212
BFGS:    9 16:05:44 -1905596.934126        0.0235
BFGS:   10 16:06:16 -1905596.934252        0.0126
BFGS:   11 16:06:49 -1905596.934330        0.0098
BFGS:   12 16:07:20 -1905596.934399        0.0107
BFGS:   13 16:07:52 -1905596.934478        0.0153
BFGS:   14 16:08:25 -1905596.934556        0.0135
BFGS:   15 16:08:56 -1905596.934617        0.0102
BFGS:   16 16:09:28 -1905596.934664        0.0073
BFGS:   17 16:10:00 -1905596.934712        0.0109
BFGS:   18 16:10:31 -1905596.934769        0.0121
BFGS:   19 16:11:03 -1905596.934824        0.0139
BFGS:   20 16:11:35 -1905596.934865        0.0093
BFGS:   21 16:12:08 -1905596.934895        0.0062
BFGS:   22 16:12:40 -1905596.934926        0.0071
BFGS:   23 16:13:12 -1905596.934965        0.0119
BFGS:   24 16:13:44 -1905596.935008        0.0127
BFGS:   25 16:14:17 -1905596.935042        0.0072
BFGS:   26 16:14:48 -1905596.935067        0.0047
BFGS:   27 16:15:20 -1905596.935090        0.0065
BFGS:   28 16:15:51 -1905596.935117        0.0101
BFGS:   29 16:16:22 -1905596.935147        0.0087
BFGS:   30 16:16:54 -1905596.935173        0.0044
BFGS:   31 16:17:26 -1905596.935194        0.0046
BFGS:   32 16:17:57 -1905596.935215        0.0082
BFGS:   33 16:18:29 -1905596.935239        0.0092
BFGS:   34 16:19:00 -1905596.935261        0.0054
BFGS:   35 16:19:31 -1905596.935279        0.0037
BFGS:   36 16:20:02 -1905596.935295        0.0059
BFGS:   37 16:20:33 -1905596.935314        0.0090
BFGS:   38 16:21:05 -1905596.935336        0.0084
BFGS:   39 16:21:37 -1905596.935356        0.0043
BFGS:   40 16:22:09 -1905596.935373        0.0034
BFGS:   41 16:22:40 -1905596.935388        0.0060
BFGS:   42 16:23:10 -1905596.935405        0.0079
BFGS:   43 16:23:42 -1905596.935424        0.0062
BFGS:   44 16:24:13 -1905596.935441        0.0033
BFGS:   45 16:24:45 -1905596.935456        0.0030
BFGS:   46 16:25:17 -1905596.935470        0.0055
BFGS:   47 16:25:49 -1905596.935486        0.0060
BFGS:   48 16:26:21 -1905596.935503        0.0051
BFGS:   49 16:26:51 -1905596.935517        0.0037
BFGS:   50 16:27:24 -1905596.935528        0.0030
BFGS:   51 16:27:54 -1905596.935540        0.0042
BFGS:   52 16:28:26 -1905596.935553        0.0053
BFGS:   53 16:28:58 -1905596.935566        0.0047
BFGS:   54 16:29:30 -1905596.935577        0.0026
BFGS:   55 16:30:03 -1905596.935586        0.0029
BFGS:   56 16:30:33 -1905596.935596        0.0034
BFGS:   57 16:31:05 -1905596.935606        0.0041
