Starting calculations for AP-WS2/WS2
      Step     Time          Energy         fmax
BFGS:    9 16:17:34 -2107602.598105        0.0287
BFGS:   10 16:18:06 -2107602.598293        0.0157
BFGS:   11 16:18:38 -2107602.598413        0.0127
BFGS:   12 16:19:10 -2107602.598521        0.0133
BFGS:   13 16:19:43 -2107602.598641        0.0186
BFGS:   14 16:20:15 -2107602.598753        0.0147
BFGS:   15 16:20:47 -2107602.598836        0.0094
BFGS:   16 16:21:19 -2107602.598905        0.0092
BFGS:   17 16:21:51 -2107602.598985        0.0153
BFGS:   18 16:22:23 -2107602.599077        0.0149
BFGS:   19 16:22:55 -2107602.599155        0.0140
BFGS:   20 16:23:30 -2107602.599207        0.0075
BFGS:   21 16:24:03 -2107602.599251        0.0091
BFGS:   22 16:24:35 -2107602.599304        0.0112
BFGS:   23 16:25:08 -2107602.599370        0.0143
BFGS:   24 16:25:40 -2107602.599430        0.0122
BFGS:   25 16:26:11 -2107602.599474        0.0067
BFGS:   26 16:26:42 -2107602.599509        0.0068
BFGS:   27 16:27:15 -2107602.599549        0.0099
BFGS:   28 16:27:48 -2107602.599594        0.0118
BFGS:   29 16:28:20 -2107602.599637        0.0074
BFGS:   30 16:28:53 -2107602.599671        0.0067
BFGS:   31 16:29:26 -2107602.599703        0.0078
BFGS:   32 16:29:59 -2107602.599740        0.0118
BFGS:   33 16:30:31 -2107602.599778        0.0101
BFGS:   34 16:31:04 -2107602.599809        0.0055
BFGS:   35 16:31:37 -2107602.599834        0.0047
BFGS:   36 16:32:10 -2107602.599861        0.0104
BFGS:   37 16:32:43 -2107602.599893        0.0125
BFGS:   38 16:33:16 -2107602.599926        0.0087
BFGS:   39 16:33:49 -2107602.599953        0.0043
BFGS:   40 16:34:21 -2107602.599974        0.0059
BFGS:   41 16:34:54 -2107602.599997        0.0100
BFGS:   42 16:35:27 -2107602.600023        0.0102
BFGS:   43 16:36:00 -2107602.600049        0.0056
BFGS:   44 16:36:33 -2107602.600071        0.0042
BFGS:   45 16:37:05 -2107602.600091        0.0067
BFGS:   46 16:37:37 -2107602.600115        0.0095
BFGS:   47 16:38:09 -2107602.600141        0.0079
BFGS:   48 16:38:41 -2107602.600163        0.0038
BFGS:   49 16:39:12 -2107602.600181        0.0037
BFGS:   50 16:39:46 -2107602.600200        0.0068
BFGS:   51 16:40:19 -2107602.600223        0.0078
BFGS:   52 16:40:51 -2107602.600245        0.0052
BFGS:   53 16:41:23 -2107602.600264        0.0031
BFGS:   54 16:41:56 -2107602.600280        0.0041
BFGS:   55 16:42:29 -2107602.600297        0.0063
BFGS:   56 16:43:02 -2107602.600317        0.0055
BFGS:   57 16:43:35 -2107602.600334        0.0034
BFGS:   58 16:44:07 -2107602.600348        0.0032
BFGS:   59 16:44:39 -2107602.600361        0.0048
BFGS:   60 16:45:11 -2107602.600377        0.0054
BFGS:   61 16:45:44 -2107602.600393        0.0047
BFGS:   62 16:46:17 -2107602.600406        0.0024
BFGS:   63 16:46:49 -2107602.600416        0.0027
BFGS:   64 16:47:21 -2107602.600426        0.0040
BFGS:   65 16:47:53 -2107602.600439        0.0048
BFGS:   66 16:48:25 -2107602.600451        0.0035
BFGS:   67 16:48:57 -2107602.600460        0.0023
BFGS:   68 16:49:28 -2107602.600468        0.0024
BFGS:   69 16:50:01 -2107602.600476        0.0043
BFGS:   70 16:50:33 -2107602.600485        0.0044
BFGS:   71 16:51:05 -2107602.600494        0.0025
BFGS:   72 16:51:39 -2107602.600500        0.0023
BFGS:   73 16:52:10 -2107602.600506        0.0027
BFGS:   74 16:52:43 -2107602.600512        0.0040
BFGS:   75 16:53:16 -2107602.600519        0.0035
BFGS:   76 16:53:48 -2107602.600524        0.0020
BFGS:   77 16:54:20 -2107602.600528        0.0020
BFGS:   78 16:54:52 -2107602.600533        0.0026
BFGS:   79 16:55:23 -2107602.600537        0.0031
BFGS:   80 16:55:55 -2107602.600542        0.0021
BFGS:   81 16:56:27 -2107602.600545        0.0013
BFGS:   82 16:56:58 -2107602.600548        0.0013
BFGS:   83 16:57:30 -2107602.600551        0.0021
BFGS:   84 16:58:04 -2107602.600554        0.0022
BFGS:   85 16:58:36 -2107602.600557        0.0015
BFGS:   86 16:59:08 -2107602.600559        0.0009
36 36 186 74 112
Combined bilayer energy = -2107602.6005594027
Energy cost per unit length : 0.0872771864998157
Prev_energy - Current_energy = 0.0013748134604311124
      Step     Time          Energy         fmax
BFGS:    0 16:59:08 -2107602.600559        0.1476
BFGS:    1 16:59:40 -2107602.601597        0.0948
BFGS:    2 17:00:11 -2107602.602644        0.0380
BFGS:    3 17:00:43 -2107602.602986        0.0391
BFGS:    4 17:01:15 -2107602.604254        0.0544
BFGS:    5 17:01:48 -2107602.604777        0.0392
BFGS:    6 17:02:19 -2107602.605044        0.0169
BFGS:    7 17:02:52 -2107602.605194        0.0161
BFGS:    8 17:03:25 -2107602.605427        0.0260
BFGS:    9 17:03:58 -2107602.605668        0.0286
BFGS:   10 17:04:29 -2107602.605861        0.0155
BFGS:   11 17:05:02 -2107602.605983        0.0133
BFGS:   12 17:05:35 -2107602.606093        0.0133
BFGS:   13 17:06:07 -2107602.606214        0.0185
BFGS:   14 17:06:39 -2107602.606327        0.0156
BFGS:   15 17:07:12 -2107602.606411        0.0106
BFGS:   16 17:07:44 -2107602.606481        0.0103
BFGS:   17 17:08:17 -2107602.606558        0.0139
BFGS:   18 17:08:48 -2107602.606644        0.0150
BFGS:   19 17:09:20 -2107602.606716        0.0135
BFGS:   20 17:09:52 -2107602.606766        0.0067
BFGS:   21 17:10:24 -2107602.606808        0.0081
BFGS:   22 17:10:57 -2107602.606859        0.0097
BFGS:   23 17:11:30 -2107602.606917        0.0129
BFGS:   24 17:12:02 -2107602.606970        0.0100
BFGS:   25 17:12:35 -2107602.607007        0.0053
BFGS:   26 17:13:07 -2107602.607038        0.0055
BFGS:   27 17:13:40 -2107602.607073        0.0085
BFGS:   28 17:14:12 -2107602.607112        0.0091
BFGS:   29 17:14:45 -2107602.607147        0.0057
BFGS:   30 17:15:19 -2107602.607174        0.0057
BFGS:   31 17:15:52 -2107602.607200        0.0065
BFGS:   32 17:16:24 -2107602.607229        0.0085
